"compresion","imagen","peso","resolucion","tasa_compresion"
"Diff/Luma","22",2641327,"1080p",1.31877172196484
"Diff/Luma","33",2847452,"1080p",1.32275053131569
"Diff/Luma","53",2502864,"1080p",1.324240742377
"Diff/Luma","65",1266300,"720p",1.33756972780673
"Diff/Luma","109",1386605,"720p",1.33922845420408
"Diff/Luma","67",3154761,"1080p",1.34025575121609
"Diff/Luma","40",2603713,"1080p",1.34027411729824
"Diff/Luma","79",2651152,"1080p",1.34349213942531
"Diff/Luma","76",2783260,"1080p",1.34931612110035
"Diff/Luma","45",1255840,"720p",1.35132023375654
"Diff/Luma","11",2491728,"1080p",1.35327256700707
"Diff/Luma","110",2756590,"1080p",1.37035720588491
"Diff/Luma","14",1134140,"720p",1.3821974470284
"Diff/Luma","17",2624126,"1080p",1.3858175984047
"Diff/Luma","29",1130275,"720p",1.39082524779583
"Diff/Luma","102",2648746,"1080p",1.40001363677447
"Diff/Luma","89",2581067,"1080p",1.43852459473227
"Diff/Luma","13",1095207,"720p",1.44504331671738
"Diff/Luma","98",1201327,"720p",1.45844679453638
"Diff/Luma","65",2782456,"1080p",1.46619066312913
"Diff/Luma","25",2620787,"1080p",1.47480390154195
"Diff/Luma","45",2760960,"1080p",1.52618149496093
"Diff/Luma","7",1114341,"720p",1.59137464690577
"Index","62",4517454,"720p",1.59563129892245
"Diff/Luma","109",2890427,"1080p",1.61403872227223
"Run","62",4592149,"720p",1.62201467324635
"Index","75",4377862,"720p",1.63213658185229
"Run","75",4416880,"720p",1.64668311281894
"Index","62",9808406,"1080p",1.65481914914976
"Diff/Luma","6",2317026,"1080p",1.6565378532883
"Diff/Luma","98",2536615,"1080p",1.66834491113745
"Diff/Luma","13",2357050,"1080p",1.68814100727669
"Diff/Luma","29",2478008,"1080p",1.6916739599106
"Index","75",9658498,"1080p",1.70319788982229
"Diff/Luma","14",2472520,"1080p",1.71011487590788
"Run","75",9779407,"1080p",1.72451921262636
"Run","62",10247735,"1080p",1.72894026954147
"Index","12",4407066,"720p",1.77360780713803
"Run","12",4508577,"720p",1.81446054274725
"Index","12",9619854,"1080p",1.84212235631323
"Index","19",8448934,"1080p",1.8505921546896
"Index","58",4308878,"1080p",1.85458585051675
"Diff/Luma","7",2460912,"1080p",1.87782485013491
"Diff/Luma","10",1046638,"720p",1.88326213927645
"Diff/Luma","117",1115633,"720p",1.88795945305625
"Index","19",3967854,"720p",1.89993923609864
"Run","12",9967910,"1080p",1.90877219724106
"Index","49",6903974,"1080p",1.93402658624253
"Index","105",4526250,"720p",1.95695795021058
"Index","36",9188114,"1080p",1.96045511524572
"Run","105",4546272,"720p",1.96561461126092
"Index","49",3292810,"720p",1.99133510606452
"Index","54",4540446,"720p",2.00158435849351
"Run","54",4580632,"720p",2.01929972588923
"Index","38",6802302,"1080p",2.02139456957826
"Index","112",4970162,"1080p",2.02716061971176
"Index","36",4282310,"720p",2.03401624530303
"Index","48",7081266,"1080p",2.05813422216435
"Index","108",8357606,"1080p",2.06259396622103
"Run","36",9671582,"1080p",2.06361201051907
"Index","82",5539114,"1080p",2.07557345014361
"Index","60",2709242,"720p",2.0768113942293
"Index","52",3421438,"720p",2.09836843761174
"Run","36",4422747,"720p",2.10072116377965
"Index","70",6926958,"1080p",2.1047386531961
"Run","52",3436413,"720p",2.10755260735359
"Index","42",4294070,"720p",2.10819778048785
"Index","69",5728626,"1080p",2.11047933002551
"Index","113",4586678,"720p",2.11225243073449
"Index","38",3157010,"720p",2.11534737619361
"Index","58",2376838,"720p",2.11650568432263
"Run","113",4597564,"720p",2.11726564072241
